,county,num_blocks,num_tracts
0,01001,1887,12
1,01003,8628,32
2,01005,1820,9
3,01007,1777,4
4,01009,2750,9
5,01011,820,3
6,01013,1654,9
7,01015,6919,31
8,01017,2184,9
9,01019,2497,6
10,01021,2208,9
11,01023,1139,4
12,01025,1884,9
13,01027,1588,4
14,01029,1471,4
15,01031,2321,14
16,01033,3799,14
17,01035,1444,5
18,01037,1534,3
19,01039,3271,14
20,01041,1124,6
21,01043,4363,18
22,01045,3033,14
23,01047,3099,15
24,01049,4435,14
25,01051,3680,15
26,01053,3382,9
27,01055,5044,30
28,01057,1731,5
29,01059,2556,9
30,01061,2417,6
31,01063,1363,3
32,01065,1186,6
33,01067,1445,6
34,01069,4192,22
35,01071,4476,11
36,01073,28737,163
37,01075,1628,3
38,01077,4233,22
39,01079,2304,9
40,01081,4059,27
41,01083,3809,16
42,01085,1270,4
43,01087,1901,12
44,01089,15427,73
45,01091,1898,6
46,01093,3344,8
47,01095,4364,18
48,01097,19465,115
49,01099,1627,7
50,01101,5621,65
51,01103,5025,27
52,01105,1064,3
53,01107,1481,5
54,01109,1880,8
55,01111,1992,6
56,01113,2158,13
57,01115,3900,13
58,01117,7945,48
59,01119,1223,4
60,01121,5316,22
61,01123,3208,10
62,01125,9004,47
63,01127,4274,18
64,01129,1818,5
65,01131,1139,4
66,01133,2031,7
67,04001,24145,16
68,04003,9139,32
69,04005,20267,28
70,04007,4979,16
71,04009,3988,9
72,04011,1394,3
73,04012,4795,9
74,04013,72729,916
75,04015,15677,43
76,04017,20804,31
77,04019,19985,241
78,04021,19349,75
79,04023,2678,10
80,04025,12462,42
81,04027,9275,55
82,05001,2796,8
83,05003,2046,7
84,05005,3064,9
85,05007,6976,49
86,05009,2422,7
87,05011,1017,5
88,05013,1356,2
89,05015,2171,5
90,05017,1870,4
91,05019,2126,5
92,05021,1951,6
93,05023,1819,7
94,05025,814,2
95,05027,2374,5
96,05029,1824,6
97,05031,3582,17
98,05033,2502,11
99,05035,2982,20
100,05037,1606,6
101,05039,1517,3
102,05041,1705,5
103,05043,1834,5
104,05045,3446,25
105,05047,2157,3
106,05049,1947,2
107,05051,5428,20
108,05053,1416,4
109,05055,2260,9
110,05057,2113,5
111,05059,3031,7
112,05061,2224,3
113,05063,2225,8
114,05065,2588,4
115,05067,2083,5
116,05069,5183,24
117,05071,2258,6
118,05073,1444,2
119,05075,2222,6
120,05077,1203,4
121,05079,1101,4
122,05081,1523,4
123,05083,1790,6
124,05085,2876,16
125,05087,1538,4
126,05089,1896,4
127,05091,2320,12
128,05093,3405,12
129,05095,1452,3
130,05097,1790,3
131,05099,1195,3
132,05101,1402,2
133,05103,2682,6
134,05105,1378,3
135,05107,1972,6
136,05109,2140,3
137,05111,2486,7
138,05113,2782,6
139,05115,3523,11
140,05117,1577,3
141,05119,11859,95
142,05121,1670,4
143,05123,2524,6
144,05125,3990,21
145,05127,1344,3
146,05129,1464,3
147,05131,4604,26
148,05133,1507,4
149,05135,2688,4
150,05137,1180,3
151,05139,3438,10
152,05141,2026,5
153,05143,6843,32
154,05145,3351,13
155,05147,1149,2
156,05149,2164,6
157,06001,23956,361
158,06003,456,1
159,06005,1396,9
160,06007,6517,51
161,06009,2818,10
162,06011,2204,5
163,06013,18309,208
164,06015,2062,8
165,06017,5810,43
166,06019,22096,199
167,06021,2783,6
168,06023,9697,31
169,06025,8875,31
170,06027,5317,6
171,06029,35280,151
172,06031,6188,27
173,06033,5164,15
174,06035,5639,9
175,06037,109582,2346
176,06039,4989,23
177,06041,4506,56
178,06043,1919,6
179,06045,8235,21
180,06047,7181,49
181,06049,5225,4
182,06051,3050,3
183,06053,10601,94
184,06055,2771,40
185,06057,4597,20
186,06059,36880,583
187,06061,9170,85
188,06063,4732,7
189,06065,35718,453
190,06067,19937,317
191,06069,2650,11
192,06071,48176,369
193,06073,43415,628
194,06075,7386,197
195,06077,13233,139
196,06079,11428,54
197,06081,9262,158
198,06083,10370,90
199,06085,22367,372
200,06087,5085,53
201,06089,10564,48
202,06091,1940,1
203,06093,10157,14
204,06095,10282,96
205,06097,10389,100
206,06099,8551,94
207,06101,2736,21
208,06103,5435,11
209,06105,3121,5
210,06107,13796,78
211,06109,4753,11
212,06111,14854,174
213,06113,3601,41
214,06115,2934,14
215,09001,14653,211
216,09003,14111,224
217,09005,6638,51
218,09007,4173,37
219,09009,13708,190
220,09011,7342,66
221,09013,3226,29
222,09015,3727,25
223,10001,4886,33
224,10003,10323,131
225,10005,8906,54
226,11001,6507,179
227,12001,7382,56
228,12003,1232,4
229,12005,8025,44
230,12007,1349,4
231,12009,12108,114
232,12011,21811,362
233,12013,1977,3
234,12015,8597,39
235,12017,8270,28
236,12019,5433,30
237,12021,6479,74
238,12023,3463,12
239,12027,1609,9
